Year,Index_A,Index_B,Index_C,Index_D,Index_E,A.1, B & C,Index_D_E,Index_All_Classes
1999,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
2000,88.3,89.5,91.2,94.2,98.7,89.2,95.4,89.6,
2001,77.2,78.8,80.8,83.2,87.8,78.4,84.4,78.7,
2002,68.1,70.2,71.9,76.6,81.8,69.5,77.9,69.9,
2003,59.7,61.1,65.3,70.2,76.2,61.0,72.0,61.6,
2004,72.7,77.2,87.8,96.5,106.6,76.6,99.4,78.0,
2005,84.9,91.3,106.6,119.1,131.3,90.4,121.9,92.0,
2006,86.6,91.6,108.0,121.0,137.6,91.1,124.9,92.7,
2007,98.5,100.5,119.6,138.0,161.5,101.4,143.7,103.5,
2008,117.6,116.1,138.5,157.2,183.6,118.6,163.0,120.5,
2009,120.3,117.2,135.1,153.4,177.1,119.8,159.0,121.3,
2010,152.5,144.4,166.2,187.5,215.0,149.3,193.8,150.9,
2011,187.3,173.8,193.8,213.3,241.7,180.8,219.7,182.1,
2012,217.6,195.7,208.4,226.0,260.9,205.2,234.5,206.2,
2013,260.3,230.1,233.5,244.9,267.4,242.1,249.8,242.4,
2014,278.7,243.2,238.2,247.8,264.7,257.1,252.3,256.9,
2015,326.7,282.8,265.4,269.4,283.4,297.9,273.2,296.8,
2016,314.8,272.9,258.8,264.5,275.1,287.1,267.1,286.1,
2017,368.3,318.4,296.9,293.1,306.1,335.8,296.3,333.9,
2018,416.6,359.3,333.0,320.1,325.2,380.2,321.5,377.3,
2019,425.6,363.6,336.6,329.5,310.0,385.7,324.4,383.0,
2020,423.2,364.3,328.2,317.3,309.5,383.6,315.5,381.2,
2021,436.2,378.2,344.0,331.5,319.2,395.3,328.6,392.7,
2022,407.5,357.4,329.8,314.6,301.4,372.1,311.8,369.7,
2023,366.7,327.8,310.0,299.3,297.6,338.8,299.0,337.4,
2024*,318.8,291.4,282.3,274.0,270.2,300.0,273.1,298.7,
